0,.\random-pics\unsamples\image-1.jpg,there is a laptop computer sitting on a wooden table with a glass of water
1,.\random-pics\unsamples\image-10.jpg,there is a horse that is standing on a mountain with a sky background
2,.\random-pics\unsamples\image-2.jpg,people standing in a large room with a view of a city
3,.\random-pics\unsamples\image-3.jpg,there is a steering wheel and dashboard of a truck in the woods
4,.\random-pics\unsamples\image-4.jpg,there is a black dog that is sitting on a wooden floor
5,.\random-pics\unsamples\image-5.jpg,arafed man jumping on a rock with his arms outstretched in the air
6,.\random-pics\unsamples\image-6.jpg,arafed image of a rusty old car with the word triumph written on it
7,.\random-pics\unsamples\image-7.jpg,there are two people standing in the snow at night
8,.\random-pics\unsamples\image-8.jpg,there is a boat that is floating in the water near a mountain
9,.\random-pics\unsamples\image-9.jpg,arafed view of a city at night with a lot of windows
